"","complnum","date","code1","offense_desc1","code2","offense_desc2","crimesuccess","crimelevel","jurisdic","loc_desc","premise_type","park","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"1",959812285,"12/29/2016",109,"GRAND LARCENY",407,"LARCENY,GRAND BY DISHONEST EMP","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","CLOTHING/BOUTIQUE",NA,40.75012867,-73.987531779,"(40.75012867, -73.987531779)","2016","12","12"
"2",382182007,"12/28/2016",578,"HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. POLICE DEPT",NA,"PARK/PLAYGROUND",NA,40.867959173,-73.927003257,"(40.867959173, -73.927003257)","2016","12","12"
"3",323015800,"12/28/2016",116,"SEX CRIMES",177,"SEXUAL ABUSE","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","HOTEL/MOTEL",NA,NA,NA,NA,"2016","12","12"
"4",728738657,"12/27/2016",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","RESIDENCE - APT. HOUSE",NA,40.789272058,-73.974722431,"(40.789272058, -73.974722431)","2016","12","12"
"5",402435274,"12/27/2016",341,"PETIT LARCENY",307,"LARCENY,PETIT BY DISHONEST EMP","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","COMMERCIAL BUILDING",NA,40.781705793,-73.951893719,"(40.781705793, -73.951893719)","2016","12","12"
"6",111839088,"12/27/2016",109,"GRAND LARCENY",403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","ATTEMPTED","FELONY","N.Y. POLICE DEPT","INSIDE","COMMERCIAL BUILDING",NA,40.729142753,-74.007033498,"(40.729142753, -74.007033498)","2016","12","07"
"7",140751968,"12/25/2016",106,"FELONY ASSAULT",109,"ASSAULT 2,1,UNCLASSIFIED","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.864147757,-73.928551197,"(40.864147757, -73.928551197)","2016","12","12"
"8",504939725,"12/23/2016",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","CHAIN STORE",NA,40.731119017,-73.99364391,"(40.731119017, -73.99364391)","2016","12","12"
"9",296006549,"12/23/2016",341,"PETIT LARCENY",349,"LARCENY,PETIT OF LICENSE PLATE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"STREET",NA,40.759991331,-73.964803255,"(40.759991331, -73.964803255)","2016","12","11"
"10",390503418,"12/22/2016",109,"GRAND LARCENY",403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.755925867,-73.963213622,"(40.755925867, -73.963213622)","2016","12","12"
"11",762086167,"12/22/2016",578,"HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.733276458,-74.005074653,"(40.733276458, -74.005074653)","2016","12","12"
"12",250867547,"12/21/2016",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","COMMERCIAL BUILDING",NA,40.736355993,-73.993369171,"(40.736355993, -73.993369171)","2016","12","12"
"13",991155622,"12/21/2016",109,"GRAND LARCENY",430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED","ATTEMPTED","FELONY","N.Y. POLICE DEPT","INSIDE","COMMERCIAL BUILDING",NA,40.741664533,-73.999283316,"(40.741664533, -73.999283316)","2016","12","12"
"14",646425387,"12/20/2016",341,"PETIT LARCENY",339,"LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"STREET",NA,40.86607063,-73.922500466,"(40.86607063, -73.922500466)","2016","12","12"
"15",749197889,"12/20/2016",233,"SEX CRIMES",175,"SEXUAL ABUSE 3,2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","OTHER",NA,NA,NA,NA,"2016","12","12"
"16",726433575,"12/20/2016",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","ATTEMPTED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","CHAIN STORE",NA,40.756644557,-73.986285275,"(40.756644557, -73.986285275)","2016","12","12"
"17",478606746,"12/20/2016",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.73727567,-73.998763743,"(40.73727567, -73.998763743)","2016","12","12"
"18",353672080,"12/20/2016",109,"GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","COMMERCIAL BUILDING",NA,40.755357591,-73.989310259,"(40.755357591, -73.989310259)","2016","12","12"
"19",148527666,"12/20/2016",361,"OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT",NA,"MARINA/PIER",NA,40.765024079,-73.98483595,"(40.765024079, -73.98483595)","2016","12","12"
"20",149668263,"12/20/2016",233,"SEX CRIMES",175,"SEXUAL ABUSE 3,2","COMPLETED","MISDEMEANOR","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,NA,NA,NA,"2016","12","12"
"21",514618771,"12/20/2016",109,"GRAND LARCENY",412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.821435971,-73.935541308,"(40.821435971, -73.935541308)","2016","12","10"
"22",566234059,"12/20/2016",121,"CRIMINAL MISCHIEF & RELATED OF",273,"TAMPERING 1,CRIMINAL","COMPLETED","FELONY","N.Y. TRANSIT POLICE",NA,"TRANSIT - NYC SUBWAY",NA,40.714060101,-73.990200647,"(40.714060101, -73.990200647)","2016","12","05"
"23",633102546,"12/19/2016",109,"GRAND LARCENY",403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.73013924,-73.974517551,"(40.73013924, -73.974517551)","2016","12","12"
"24",908950690,"12/19/2016",126,"MISCELLANEOUS PENAL LAW",198,"CRIMINAL CONTEMPT 1","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.815358321,-73.957375157,"(40.815358321, -73.957375157)","2016","12","10"
"25",241582481,"12/18/2016",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","BAR/NIGHT CLUB",NA,40.728253665,-73.999315931,"(40.728253665, -73.999315931)","2016","12","12"
"26",786148891,"12/18/2016",109,"GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","OTHER",NA,40.764565988,-73.971757209,"(40.764565988, -73.971757209)","2016","12","12"
"27",957521238,"12/17/2016",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","COMMERCIAL BUILDING",NA,40.709487284,-74.010266871,"(40.709487284, -74.010266871)","2016","12","12"
"28",212054875,"12/17/2016",126,"MISCELLANEOUS PENAL LAW",117,"RECKLESS ENDANGERMENT 1","COMPLETED","FELONY","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.798193324,-73.967351028,"(40.798193324, -73.967351028)","2016","12","12"
"29",843530590,"12/16/2016",341,"PETIT LARCENY",343,"LARCENY,PETIT OF BICYCLE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.751787376,-73.975804994,"(40.751787376, -73.975804994)","2016","12","12"
"30",409271945,"12/16/2016",341,"PETIT LARCENY",303,"LARCENY,PETIT BY CHECK USE","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","BANK",NA,40.82549764,-73.951273101,"(40.82549764, -73.951273101)","2016","12","12"
"31",890081211,"12/16/2016",109,"GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","PUBLIC SCHOOL",NA,40.767848752,-73.987629545,"(40.767848752, -73.987629545)","2016","12","11"
"32",807712847,"12/16/2016",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","FRONT OF","COMMERCIAL BUILDING",NA,40.803162407,-73.954482496,"(40.803162407, -73.954482496)","2016","12","11"
"33",271260644,"12/15/2016",109,"GRAND LARCENY",416,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","BAR/NIGHT CLUB",NA,40.764148726,-73.986612233,"(40.764148726, -73.986612233)","2016","12","12"
"34",142016849,"12/15/2016",110,"GRAND LARCENY OF MOTOR VEHICLE",441,"LARCENY,GRAND OF AUTO","COMPLETED","FELONY","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.762214163,-73.991738568,"(40.762214163, -73.991738568)","2016","12","12"
